date,hour,minute,coin,volume,avg_price
2017-09-03,11,27,etc,2133.0396999999994,21097.949820624533
2017-09-03,11,27,eth,489.4348,380107.90065397887
2017-09-03,11,27,qtum,2472.1204000000007,17733.932700446141
2017-09-03,11,27,xrp,184281.83890000003,248.49048007898941
2017-09-03,11,28,bch,13.6532,631053.80277151137
2017-09-03,11,28,btc,6.1103,5056107.9488732144
2017-09-03,11,28,etc,4149.9779,21003.790116328091
2017-09-03,11,28,eth,997.6885000000002,379687.670350014
2017-09-03,11,28,qtum,3399.4758,17713.128667661054
2017-09-03,11,28,xrp,25875.5385,248.19384962365129
2017-09-03,11,29,bch,25.444699999999997,630923.83797018649
2017-09-03,11,29,btc,3.5355999999999992,5044053.7391107613
2017-09-03,11,29,etc,3287.8967000000007,20904.423397182763
2017-09-03,11,29,eth,782.08790000000033,379636.96317255381
2017-09-03,11,29,qtum,1655.4989,17729.992871635252
2017-09-03,11,29,xrp,84347.110099999991,248.71792619721305
2017-09-03,11,30,bch,50.175000000000004,630484.0121574488
2017-09-03,11,30,btc,0.5683,5047048.2139714938
2017-09-03,11,30,etc,4390.7107000000015,20980.899575551623
2017-09-03,11,30,eth,602.3919,380527.1787851064
2017-09-03,11,30,qtum,3452.7192999999997,17709.116137822151
2017-09-03,11,30,xrp,5000,248.2
2017-09-03,11,31,bch,0.5,632268.96
2017-09-03,11,31,btc,5.072,5055000
2017-09-03,11,31,etc,1000.2396000000001,21043.343242958985
2017-09-03,11,31,eth,348.19680000000005,381166.506814537
2017-09-03,11,31,qtum,585.5339,17710.236259591456
2017-09-03,11,31,xrp,38536.961999999992,248.07787328954475
2017-09-03,11,32,bch,28.300500000000003,630615.65873394464
2017-09-03,11,32,btc,2.3928,5060000
2017-09-03,11,32,etc,372.2775,21095.97076374479
2017-09-03,11,32,eth,282.87860000000006,381086.86790022283
2017-09-03,11,32,qtum,65.4455,17727.419073885907
2017-09-03,11,32,xrp,451616.36079999997,249
2017-09-03,11,33,bch,57.8817,632655.11258307891
2017-09-03,11,33,btc,3.4810000000000003,5055534.9612180414
2017-09-03,11,33,etc,500.65880000000004,21193.451498305836
2017-09-03,11,33,eth,646.98429999999985,382214.66638371296
2017-09-03,11,33,qtum,2927.8993999999989,17797.056548459288
2017-09-03,11,33,xrp,66322.103999999992,250.00000000000003
2017-09-03,11,34,btc,0.79089999999999994,5057936.7808825392
2017-09-03,11,34,etc,1272.7477000000001,21221.299722639447
2017-09-03,11,34,eth,372.14140000000015,382728.87581172085
2017-09-03,11,34,qtum,238.69189999999998,17820
2017-09-03,11,34,xrp,58159.1059,249.99999999999997
2017-09-03,11,35,bch,16.455199999999998,632911.07005688176
2017-09-03,11,35,btc,0.0344,5062976.7441860465
2017-09-03,11,35,etc,230.88519999999997,21151.818089682667
2017-09-03,11,35,eth,280.563,382398.82675192383
2017-09-03,11,35,qtum,1142.5373,17860.153801543285
2017-09-03,11,36,bch,6.7896,632527.983975492
2017-09-03,11,36,btc,1.0154,5068846.2674807953
2017-09-03,11,36,etc,133.51420000000002,21131.456099800616
2017-09-03,11,36,eth,299.5646,381783.96981819614
2017-09-03,11,36,qtum,1798.1308,17855.644667228877
2017-09-03,11,36,xrp,72394.6399,250.00000000000003
2017-09-03,11,37,btc,0.12150000000000002,5070500.0000000009
2017-09-03,11,37,etc,40.750699999999995,21137.963028855946
2017-09-03,11,37,eth,219.96089999999992,380839.7091255766
2017-09-03,11,37,qtum,1879.4549,17784.209114568275
2017-09-03,11,37,xrp,67519.4259,250.00000000000003
2017-09-03,11,38,bch,6.996,631030.01715265866
2017-09-03,11,38,etc,540.74660000000006,21056.058558666842
2017-09-03,11,38,eth,157.6726,380506.07667407027
2017-09-03,11,38,qtum,2171.9986,17764.820969497861
2017-09-03,11,38,xrp,23.8286,251
2017-09-03,11,39,bch,47.8172,629440.38421321206
2017-09-03,11,39,btc,0.013,5070884.615384616
2017-09-03,11,39,etc,29.000100000000003,21040
2017-09-03,11,39,eth,67.37480000000005,381023.90834555327
2017-09-03,11,39,qtum,2004.5538999999999,17705.372207751559
2017-09-03,11,39,xrp,103933.60200000001,249.99999999999997
2017-09-03,11,40,bch,16.9309,629312.21021918487
2017-09-03,11,40,btc,5.7905000000000006,5070499.8359381743
2017-09-03,11,40,etc,522.9914,21075.469005800096
2017-09-03,11,40,eth,93.994500000000016,380950.74786290684
2017-09-03,11,40,qtum,799.20310000000006,17683.077618192419
2017-09-03,11,40,xrp,18952.888899999998,249.00000000000003
2017-09-03,11,41,bch,3.235,630000
2017-09-03,11,41,btc,8.8193999999999964,5067763.7254235009
2017-09-03,11,41,etc,490.90180000000004,20996.22371724854
2017-09-03,11,41,eth,94.590799999999987,380603.21569328103
2017-09-03,11,41,qtum,251.3521,17745.623668948858
2017-09-03,11,41,xrp,108009.22069999999,249.00000000000003
2017-09-03,11,42,bch,10.1015,630005.02400633576
2017-09-03,11,42,btc,1.7143000000000002,5071528.7289272584
2017-09-03,11,42,etc,2107.0562,20933.503548220495
2017-09-03,11,42,eth,290.9779,380021.75651484187
2017-09-03,11,42,qtum,2274.1024,17741.560201950448
2017-09-03,11,43,bch,0.91030000000000011,630714.76436339645
2017-09-03,11,43,btc,2.32,5072000.0000000009
2017-09-03,11,43,etc,760.97759999999994,21059.245115756366
2017-09-03,11,43,eth,257.08160000000004,381228.00443516753
2017-09-03,11,43,qtum,308.51910000000004,17759.999999999996
2017-09-03,11,43,xrp,124407.50579999998,249.00000000000006
2017-09-03,11,44,bch,1.3741,631021.8324721636
2017-09-03,11,44,etc,165.0696,21028.758123845939
2017-09-03,11,44,eth,100.83399999999999,381779.16669972433
2017-09-03,11,44,qtum,1467.0451999999998,17759.488404992568
2017-09-03,11,44,xrp,948.8354,249
2017-09-03,11,45,bch,19.758399999999998,633984.8165843389
2017-09-03,11,45,btc,0.016,5071000
2017-09-03,11,45,etc,893.7983,21122.521325001395
2017-09-03,11,45,eth,49.6675,381434.79055720544
2017-09-03,11,45,qtum,147.7957,17763.250656142231
2017-09-03,11,45,xrp,24324.6308,249
2017-09-03,11,46,bch,7.6212,633997.472838923
2017-09-03,11,46,etc,710.33339999999976,21133.781620011116
2017-09-03,11,46,eth,52.293900000000008,381761.25073861383
2017-09-03,11,46,qtum,1647.0578999999998,17750.116624922535
2017-09-03,11,46,xrp,89876.3534,249
2017-09-03,11,47,bch,2.0389,631000.00000000023
2017-09-03,11,47,btc,0.2377,5071000
2017-09-03,11,47,etc,112.45799999999998,21056.455965782785
2017-09-03,11,47,eth,24.829099999999993,381372.03422596882
2017-09-03,11,47,qtum,381.5946,17750.061169628709
2017-09-03,11,48,bch,0.5283,631000
2017-09-03,11,48,btc,1.7799999999999998,5073593.0337078655
2017-09-03,11,48,etc,1325.7921999999996,21022.911693099417
2017-09-03,11,48,eth,112.1027,380928.59935576934
2017-09-03,11,48,qtum,2365.2657000000004,17754.249926762979
2017-09-03,11,48,xrp,1000,249
2017-09-03,11,49,bch,3.6249,631000
2017-09-03,11,49,btc,5.0265999999999984,5060257.529940716
2017-09-03,11,49,etc,698.3712,20985.786594578931
2017-09-03,11,49,eth,319.5409,380329.70518015057
2017-09-03,11,49,qtum,2295.0358,17749.361552007158
2017-09-03,11,49,xrp,269150.2816,247.96504700777541
2017-09-03,11,50,btc,1.1483,5060999.9999999991
2017-09-03,11,50,etc,639.8106,20964.950741672612
2017-09-03,11,50,eth,127.38990000000003,379954.02826283709
2017-09-03,11,50,qtum,186.5702,17758.293543127467
2017-09-03,11,50,xrp,169762.8498,246.99999999999997
2017-09-03,11,51,bch,25.567899999999998,630110.57341432036
2017-09-03,11,51,btc,9.1926999999999985,5060841.2653518552
2017-09-03,11,51,etc,694.9088,20920.865962555083
2017-09-03,11,51,eth,227.3722,379544.84050820646
2017-09-03,11,51,qtum,228.9736,17762.113195582373
2017-09-03,11,51,xrp,1090773.4286000002,246.37920954146344
2017-09-03,11,52,bch,22.675400000000003,627690.338428429
2017-09-03,11,52,btc,10.280199999999999,5059823.8555670129
2017-09-03,11,52,etc,1346.6353,20918.151552242838
2017-09-03,11,52,eth,300.8819,379371.8490211608
2017-09-03,11,52,qtum,985.01550000000009,17757.93013206391
2017-09-03,11,52,xrp,175159.1867,246.00000000000006
2017-09-03,11,53,bch,0.1,627000
2017-09-03,11,53,btc,0.1141,5050353.1989482921
2017-09-03,11,53,etc,2166.2919999999995,20948.569653583178
2017-09-03,11,53,eth,335.64479999999992,379164.04267249192
2017-09-03,11,53,qtum,1334.7308000000003,17751.203103277454
2017-09-03,11,53,xrp,105307.6,246.02193573873112
2017-09-03,11,54,bch,13.706999999999999,626921.544466331
2017-09-03,11,54,btc,0.05,5052000
2017-09-03,11,54,etc,339.64989999999995,20977.886620899932
2017-09-03,11,54,eth,122.02220000000003,379375.59239220392
2017-09-03,11,54,qtum,408.37120000000004,17761.936431854156
2017-09-03,11,54,xrp,162638.70510000002,246.86710219878648
2017-09-03,11,55,btc,4.3543,5051103.9087798269
2017-09-03,11,55,etc,1572.4310000000003,21037.41029717679
2017-09-03,11,55,eth,269.84980000000007,379214.29157998256
2017-09-03,11,55,qtum,1310.1793000000002,17750.913049076564
2017-09-03,11,55,xrp,93412.0526,247.87169084859613
2017-09-03,11,56,bch,0.2978,628000
2017-09-03,11,56,btc,2.434,5051915.9819227606
2017-09-03,11,56,etc,1874.4786,21260.233998403615
2017-09-03,11,56,eth,202.77489999999995,379525.60196059785
2017-09-03,11,56,qtum,1400.8971999999999,17771.106797129727
2017-09-03,11,56,xrp,15114.0039,248
2017-09-03,11,57,bch,0.0699,629800
2017-09-03,11,57,btc,0.7242,5051034.5208505942
2017-09-03,11,57,etc,308.5476,21237.227050218513
2017-09-03,11,57,eth,244.1597,380139.76022660581
2017-09-03,11,57,qtum,1335.07,17762.972970705658
2017-09-03,11,57,xrp,1644.458799999999,247.00000000000034
2017-09-03,11,58,bch,10.052,629997.67608436139
2017-09-03,11,58,btc,2.728,5051191.0007331371
2017-09-03,11,58,etc,1677.962,21154.445814029164
2017-09-03,11,58,eth,99.3976,380882.36491625546
2017-09-03,11,58,qtum,405.1678,17772.501501846891
2017-09-03,11,58,xrp,3.5961000000000003,247.00000000000003
2017-09-03,11,59,bch,3.3904,630000
2017-09-03,11,59,btc,1.4160000000000001,5051521.99858757
